root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 25493 cubes (0 already journaled; skipped {}; retry=['error'])
solver: cadical /Users/jiaruixu/work_space/smp-max/cadical-src/build/cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
base formula: 84882 vars, 2709212 clauses, 48.7 MB, sha256 28421fb68b0f494b..., built in 1.9s
journal header written: base_sha256=28421fb68b0f494b99d1918aa64cff248443161dc7a6c220e0c3e895a67df59b solver=cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
[1/25493    11.4s] 0,5,4,3,2,1;0,3,5,1,4,2: verified [cadical] solve=0.94s lrat=39.1MB cake=10.32s cnf_sha=e1efd2e120f6
[2/25493    12.0s] 0,2,5,1,3,4;0,1,2,4,5: verified [cadical] solve=1.34s lrat=55.8MB cake=10.37s cnf_sha=cc0edf551f57
[3/25493    13.0s] 0,1,2,3,4;0,5,2,4,1,3: verified [cadical] solve=1.78s lrat=70.6MB cake=10.94s cnf_sha=5581cc7b4e01
[4/25493    14.4s] 0,3,5,2,1,4;1,4,5,2: verified [cadical] solve=4.0s lrat=114.6MB cake=10.11s cnf_sha=8484b6c2fc79
[5/25493    15.9s] 0,4,2,5,3,1;0,3,4,2: verified [cadical] solve=6.67s lrat=165.0MB cake=8.9s cnf_sha=58903f636a82
[6/25493    34.7s] 0,1,3,5,2,4;0,5,1,2,3,4: verified [cadical] solve=0.85s lrat=43.9MB cake=19.14s cnf_sha=cefc5919c384
[7/25493    42.8s] 0,2,1,3,4;0,1,3,4,5: verified [cadical] solve=4.05s lrat=148.3MB cake=26.87s cnf_sha=b22b7c071dde
[8/25493    45.2s] 0,2,5,4,1,3;0,2,4,1: verified [cadical] solve=5.68s lrat=165.8MB cake=26.17s cnf_sha=93bf4c7ee621
[9/25493    48.1s] 0,4,3,5,1,2;0,5,2,4,3: verified [cadical] solve=1.46s lrat=66.8MB cake=11.6s cnf_sha=d6f1d007a0e2
[10/25493    52.3s] 0,1,3,2,5,4;0,5,4,1,3: verified [cadical] solve=1.72s lrat=57.6MB cake=7.32s cnf_sha=e292b0686048
[11/25493    54.4s] 0,3,2,1,4;0,5,3,4: verified [cadical] solve=15.21s lrat=378.4MB cake=38.88s cnf_sha=10f9d45dd4ba
[12/25493    55.4s] 0,2,5,1,4,3;0,1,4,2,5: verified [cadical] solve=2.23s lrat=85.6MB cake=7.59s cnf_sha=edd8d8eb33b1
[13/25493    58.0s] 0,2,3,1,5,4;0,5,3,1,4: verified [cadical] solve=1.58s lrat=76.5MB cake=3.78s cnf_sha=468c61aad324
[14/25493    58.9s] 0,2,1,4,3,5;0,3,5: verified [cadical] solve=16.9s lrat=426.6MB cake=41.59s cnf_sha=7e7de3d418a4
[15/25493    59.7s] 0,4,5,2,3,1;0,3,4,2,1,5: verified [cadical] solve=0.79s lrat=44.1MB cake=3.12s cnf_sha=05a7a1e07b95
[16/25493    60.5s] 0,1,3,4,2,5;2,3,4: verified [cadical] solve=17.6s lrat=462.5MB cake=42.3s cnf_sha=6c6f1856e702
